CMDLINE python try_STARS_prefetched.py
MEM 2066.328125 1695338490.7489
MEM 2066.328125 1695338490.8541
MEM 2066.328125 1695338490.9593
MEM 2066.328125 1695338491.0645
MEM 2066.328125 1695338491.1697
MEM 2066.328125 1695338491.2711
MEM 2066.328125 1695338491.3731
MEM 2066.328125 1695338491.4779
MEM 2066.328125 1695338491.5831
MEM 2066.328125 1695338491.6835
MEM 2066.328125 1695338491.7883
MEM 2066.328125 1695338491.8941
MEM 2066.328125 1695338491.9957
MEM 2066.328125 1695338492.1009
MEM 2066.328125 1695338492.2064
MEM 2066.328125 1695338492.3111
MEM 2066.328125 1695338492.4145
MEM 2066.328125 1695338492.5197
MEM 2066.328125 1695338492.6249
MEM 2066.328125 1695338492.7301
MEM 2066.328125 1695338492.8308
MEM 2066.328125 1695338492.9361
MEM 2066.328125 1695338493.0413
MEM 2066.328125 1695338493.1431
MEM 2066.328125 1695338493.2434
MEM 2066.328125 1695338493.3487
MEM 2066.328125 1695338493.4535
MEM 2066.328125 1695338493.5557
MEM 2066.328125 1695338493.6609
MEM 2066.328125 1695338493.7661
MEM 2066.328125 1695338493.8712
MEM 2066.328125 1695338493.9733
MEM 2066.328125 1695338494.0745
MEM 2066.328125 1695338494.1797
MEM 2066.328125 1695338494.2871
MEM 2066.328125 1695338494.3934
MEM 2066.328125 1695338494.4986
MEM 2066.328125 1695338494.6038
MEM 2066.328125 1695338494.7071
MEM 2066.328125 1695338494.8093
MEM 2066.328125 1695338494.9133
MEM 2066.328125 1695338495.0234
MEM 2066.328125 1695338495.1241
MEM 2066.328125 1695338495.2294
MEM 2066.328125 1695338495.3333
MEM 2066.328125 1695338495.4384
MEM 2066.328125 1695338495.5402
MEM 2066.328125 1695338495.6426
MEM 2066.328125 1695338495.7478
MEM 2066.328125 1695338495.8492
MEM 2066.328125 1695338495.9537
MEM 2066.328125 1695338496.0553
MEM 2066.328125 1695338496.1564
MEM 2066.328125 1695338496.2608
MEM 2066.328125 1695338496.3617
MEM 2066.328125 1695338496.4665
MEM 2066.328125 1695338496.5687
MEM 2066.328125 1695338496.6755
MEM 2066.328125 1695338496.7806
MEM 2066.328125 1695338496.8881
MEM 2066.328125 1695338496.9935
MEM 2066.328125 1695338497.0983
MEM 2066.328125 1695338497.2036
MEM 2066.328125 1695338497.3083
MEM 2066.328125 1695338497.4137
MEM 2066.328125 1695338497.5189
MEM 2066.328125 1695338497.6214
MEM 2066.328125 1695338497.7259
MEM 2066.328125 1695338497.8311
MEM 2066.328125 1695338497.9364
MEM 2066.328125 1695338498.0416
MEM 2066.328125 1695338498.1432
MEM 2066.328125 1695338498.2484
MEM 2066.328125 1695338498.3541
MEM 2066.328125 1695338498.4593
MEM 2066.328125 1695338498.5646
MEM 2066.328125 1695338498.6653
MEM 2066.328125 1695338498.7657
MEM 2066.328125 1695338498.8710
MEM 2066.328125 1695338498.9752
MEM 2066.328125 1695338499.0806
MEM 2066.328125 1695338499.1832
MEM 2066.328125 1695338499.2859
MEM 2066.328125 1695338499.3911
MEM 2066.328125 1695338499.4964
MEM 2066.328125 1695338499.5979
MEM 2066.328125 1695338499.7031
MEM 2066.328125 1695338499.8083
MEM 2066.328125 1695338499.9136
MEM 2066.328125 1695338500.0188
MEM 2066.328125 1695338500.1206
MEM 2066.328125 1695338500.2233
MEM 2066.328125 1695338500.3258
MEM 2066.328125 1695338500.4308
MEM 2066.328125 1695338500.5365
MEM 2066.328125 1695338500.6417
MEM 2066.328125 1695338500.7440
MEM 2066.328125 1695338500.8474
MEM 2066.328125 1695338500.9491
MEM 2066.328125 1695338501.0545
MEM 2066.328125 1695338501.1597
MEM 2066.328125 1695338501.2628
MEM 2066.328125 1695338501.3633
MEM 2066.328125 1695338501.4656
MEM 2066.328125 1695338501.5667
MEM 2066.328125 1695338501.6720
MEM 2066.328125 1695338501.7734
MEM 2066.328125 1695338501.8787
MEM 2066.328125 1695338501.9839
MEM 2066.328125 1695338502.0879
MEM 2066.328125 1695338502.1933
MEM 2066.328125 1695338502.2981
MEM 2066.328125 1695338502.4015
MEM 2066.328125 1695338502.5042
MEM 2066.328125 1695338502.6076
MEM 2066.328125 1695338502.7106
MEM 2066.328125 1695338502.8157
MEM 2066.328125 1695338502.9209
MEM 2066.328125 1695338503.0241
MEM 2066.328125 1695338503.1259
MEM 2066.328125 1695338503.2311
MEM 2066.328125 1695338503.3363
MEM 2066.328125 1695338503.4409
MEM 2066.328125 1695338503.5461
MEM 2066.328125 1695338503.6514
MEM 2066.328125 1695338503.7566
MEM 2066.328125 1695338503.8601
MEM 2066.328125 1695338503.9630
MEM 2066.328125 1695338504.0670
MEM 2066.328125 1695338504.1714
MEM 2066.328125 1695338504.2734
MEM 2066.328125 1695338504.3751
MEM 2066.328125 1695338504.4803
MEM 2066.328125 1695338504.5855
MEM 2066.328125 1695338504.6910
MEM 2066.328125 1695338504.7963
MEM 2066.328125 1695338504.8986
MEM 2066.328125 1695338504.9996
MEM 2066.328125 1695338505.1035
MEM 2066.328125 1695338505.2087
MEM 2066.328125 1695338505.3118
MEM 2066.328125 1695338505.4171
MEM 2066.328125 1695338505.5189
MEM 2066.328125 1695338505.6241
MEM 2066.328125 1695338505.7246
MEM 2066.328125 1695338505.8261
MEM 2066.328125 1695338505.9291
MEM 2066.328125 1695338506.0352
MEM 2066.328125 1695338506.1404
MEM 2066.328125 1695338506.2422
MEM 2066.328125 1695338506.3475
MEM 2066.328125 1695338506.4527
MEM 2066.328125 1695338506.5579
MEM 2066.328125 1695338506.6631
